loan_id,customer_id,company_name,incorporation_date,industry_code (NAICS),registration_type,region,number_of_employees,loan_amount ($),interest_rate (%),term_months,issue_date,repayment_schedule,report_date,revenue ($),profit_after_tax ($),EBITDA ($),operating_margin (%),current_assets ($),current_liabilities ($),payment_date,amount_paid ($),outstanding_balance ($),credit_score,prior_defaults_count,prior_loans_count,bank_account_transactions (Count/Month),GST/Tax filing delays (Past 12 M),digital_payments_volume ($/Month),default_flag (0/1)
L120,CUST220,Central Pharma Distributors,2015-01-01,424210,Private Limited,Central,65,150000,8.3,48,2022-10-25,Quarterly,2022-12-31,3000000,220000,330000,11,750000,320000,2024-04-25,13000,135000,795,0,6,220,0,60000,0
L121,CUST221,Northland Tech Support,2018-03-15,541513,Partnership,North,20,65000,10.3,60,2023-01-20,Monthly,2022-12-31,900000,65000,95000,10.6,200000,90000,2024-03-20,1700,58000,725,0,2,115,0,18000,0
L122,CUST222,South End Courier,2020-10-10,492110,Sole Proprietorship,South,7,30000,12.8,36,2023-06-01,Monthly,2022-12-31,350000,15000,25000,7.1,50000,30000,2024-04-01,0,28000,615,2,1,55,3,4000,1
L123,CUST223,Eastside Robotics,2012-07-07,333318,Private Limited,East,48,100000,8.1,48,2022-12-05,Quarterly,2022-12-31,2000000,140000,220000,11,550000,240000,2024-04-01,7500,90000,790,0,5,210,0,48000,0
L124,CUST224,West Coast Hardware,2021-04-01,444130,Sole Proprietorship,West,5,20000,13.2,24,2023-09-01,Monthly,2022-12-31,280000,10000,15000,5.4,45000,28000,2024-04-01,0,18500,600,3,1,40,5,3000,1
L125,CUST225,Central Construction,2014-08-10,236220,Private Limited,Central,70,160000,8.8,60,2022-11-15,Monthly,2022-12-31,3200000,240000,380000,11.8,850000,380000,2024-03-15,2700,145000,770,0,6,230,0,65000,0
L126,CUST226,North End Travel,2018-02-01,561599,Partnership,North,16,50000,10.4,48,2023-03-08,Monthly,2022-12-31,750000,55000,70000,9.3,160000,70000,2024-03-08,1500,45000,705,1,2,95,1,14000,0
L127,CUST227,South Bay Audit,2017-09-25,541690,Private Limited,South,28,80000,9.3,48,2022-10-01,Quarterly,2022-12-31,1300000,95000,130000,10,320000,150000,2024-04-01,6500,72000,760,0,3,150,0,24000,0
L128,CUST228,East End Diner,2021-06-15,722513,Sole Proprietorship,East,6,25000,12.9,24,2023-07-05,Monthly,2022-12-31,300000,12000,20000,6.7,40000,25000,2024-04-05,0,22000,620,2,1,45,3,3500,1
L129,CUST229,West Coast Media,2016-12-01,541810,Private Limited,West,38,95000,8.6,60,2023-01-01,Monthly,2022-12-31,1600000,120000,180000,11.2,420000,190000,2024-03-01,1800,85000,780,0,4,180,0,38000,0
L130,CUST230,Central Auto Repairs,2019-05-01,811111,Sole Proprietorship,Central,10,40000,11.4,36,2023-04-20,Monthly,2022-12-31,500000,30000,40000,8,80000,45000,2024-04-20,1100,35000,665,1,1,70,1,6000,0
L131,CUST231,North Star E-learning,2018-07-01,611420,Partnership,North,22,60000,9.9,48,2022-11-05,Quarterly,2022-12-31,1000000,70000,100000,10,250000,120000,2024-04-01,5000,54000,730,0,2,125,0,21000,0
L132,CUST232,South End Deliveries,2020-09-01,492210,Sole Proprietorship,South,5,20000,13.1,24,2023-08-20,Monthly,2022-12-31,250000,10000,15000,6,35000,20000,2024-04-20,0,18500,615,2,1,40,4,2500,1
L133,CUST233,East Coast Engineering,2011-03-01,541330,Private Limited,East,55,130000,8.4,60,2023-01-10,Monthly,2022-12-31,2900000,210000,330000,11.4,720000,310000,2024-03-10,2200,118000,775,0,5,240,0,55000,0
L134,CUST234,Westside Florist Shop,2021-05-10,453110,Sole Proprietorship,West,4,15000,13.8,36,2023-09-10,Monthly,2022-12-31,150000,5000,10000,6.7,25000,15000,2024-04-10,0,14000,590,3,1,35,5,1500,1
L135,CUST235,Central Food Services,2013-09-01,722310,Private Limited,Central,80,180000,8.15,48,2022-12-20,Quarterly,2022-12-31,3800000,280000,450000,11.8,900000,400000,2024-04-01,15000,160000,790,0,7,250,0,70000,0
L136,CUST236,North End Marketing,2018-04-10,541810,Partnership,North,14,45000,10.1,48,2023-02-01,Monthly,2022-12-31,650000,50000,60000,9.2,130000,60000,2024-03-01,1300,40000,740,0,1,80,0,15000,0
L137,CUST237,South Side Book Shop,2020-03-20,451211,Sole Proprietorship,South,5,25000,12.6,36,2023-06-15,Monthly,2022-12-31,280000,15000,20000,7.1,35000,20000,2024-04-15,800,22000,630,1,1,50,2,4000,0
L138,CUST238,East Bay Warehousing,2015-11-11,493110,Private Limited,East,42,110000,8.9,48,2022-10-15,Monthly,2022-12-31,2100000,150000,230000,11,500000,220000,2024-03-15,2400,95000,760,0,4,200,0,42000,0
L139,CUST239,Westside Cleaning Services,2021-07-01,561720,Sole Proprietorship,West,6,30000,11.7,24,2023-04-05,Monthly,2024-04-05,350000,20000,25000,7.1,55000,30000,2024-04-05,950,27000,650,1,1,60,1,5000,0
L140,CUST240,Central Transport Hub,2017-02-28,493110,Private Limited,Central,30,75000,9.5,60,2023-01-25,Quarterly,2022-12-31,1200000,80000,130000,10.8,300000,140000,2024-04-01,6000,68000,745,0,3,140,0,28000,0
L141,CUST241,North Star Construction Co,2015-05-15,236220,Partnership,North,48,150000,8.65,48,2022-11-20,Monthly,2022-12-31,2800000,200000,300000,10.7,650000,300000,2024-03-20,3500,135000,785,0,5,210,0,55000,0
L142,CUST242,South End Apparel,2020-11-01,448140,Sole Proprietorship,South,4,20000,13,36,2023-09-25,Monthly,2022-12-31,200000,8000,12000,6,30000,15000,2024-04-25,0,18500,605,2,1,35,4,2000,1
L143,CUST243,East Coast Freight,2016-04-01,484121,Private Limited,East,35,100000,9,60,2023-01-12,Monthly,2022-12-31,1500000,110000,150000,10,400000,180000,2024-03-12,1900,90000,750,0,4,160,0,30000,0
L144,CUST244,Westside Tech Solutions,2018-09-01,541511,Private Limited,West,25,70000,9.4,48,2022-10-08,Quarterly,2022-12-31,1100000,90000,110000,10,250000,110000,2024-04-01,5500,63000,730,0,3,130,0,25000,0
L145,CUST245,Central Car Detailing,2021-02-15,811121,Sole Proprietorship,Central,5,25000,12,36,2023-05-15,Monthly,2022-12-31,300000,18000,22000,7.3,40000,25000,2024-04-15,850,22000,640,1,1,55,2,3500,0
L146,CUST246,Summit Construction,2014-05-18,237990,Partnership,Central,35,110000,8.9,60,2023-03-20,Monthly,2022-12-31,1200000,80000,140000,11.7,300000,150000,2024-03-20,2050,100000,730,0,3,140,0,25000,0
L147,CUST247,Valley Repair Shop,2021-07-01,811111,Sole Proprietorship,South,5,30000,11.75,36,2023-08-14,Monthly,2022-12-31,350000,15000,22000,6.3,50000,30000,2024-04-14,0,27500,625,1,1,60,2,7000,1
L148,CUST248,Oceanic Freight Co.,2016-02-14,483111,Private Limited,West,28,55000,10.1,48,2022-11-05,Monthly,2022-12-31,1100000,75000,125000,11.4,280000,140000,2024-03-05,1300,48000,710,0,2,125,0,19000,0
L149,CUST249,Desert Solar Panels,2018-11-20,221330,Partnership,North,50,95000,9.3,60,2023-01-25,Quarterly,2022-12-31,1600000,100000,170000,10.6,400000,190000,2024-04-01,7500,85000,745,0,4,190,0,32000,0
L150,CUST250,Town Cafe & Bistro,2020-09-09,722511,Sole Proprietorship,East,6,40000,11.8,36,2023-06-01,Monthly,2022-12-31,420000,25000,30000,7.1,65000,40000,2024-04-01,1200,35000,670,1,1,75,1,9000,0
